t_ms,t_sec_rel,q_w,q_x,q_y,q_z,roll_deg,pitch_deg,yaw_deg
,0.445,0.9907929495075987,0.13428404337775224,-0.017235594729878106,-0.00024733471752093767,15.441754052774337,-1.953441735212751,-0.29347154476681997
,0.45,0.9905426848116298,0.1361391117243905,-0.017057422816767774,-0.0006133122467054895,15.656932146465744,-1.9269463814312777,-0.3359101192497584
,0.455,0.9902876015873088,0.13800217168745918,-0.016879323211192697,-0.0009773433034970052,15.873066564360123,-1.900334769273481,-0.37804586764092774
,0.46,0.990027648196702,0.13987325967960448,-0.016701287259248007,-0.0013394165122999112,16.09016315766297,-1.8736065295886457,-0.41987659823160467
,0.465,0.989762772731334,0.14175240984037785,-0.016523306259645067,-0.0016995204845171219,16.308227546894045,-1.8467613074013571,-0.4614001013067906
,0.47,0.9894929230124248,0.14363965414127025,-0.016345371468234823,-0.0020576438150469328,16.527265134318384,-1.81979876320234,-0.50261414925224
,0.475,0.9892180465914692,0.1455350224817964,-0.016167474102289706,-0.0024137750791725938,16.747281115352425,-1.7927185741810627,-0.54351649668008
,0.48,0.9889204894839392,0.14756023437364418,-0.015926579989418436,-0.002930317437063728,16.98259043465879,-1.7555564339827752,-0.6016677658153353
,0.485,0.9886170787317974,0.14959401013186327,-0.015685596181315185,-0.0034446835720762336,17.21892371543314,-1.7181848553571983,-0.6594352963292504
,0.49,0.9883077563973495,0.15163637100116534,-0.015444510293136164,-0.00395685939091085,17.45628557081264,-1.6806030661233213,-0.7168158337844244
,0.495,0.987992464279974,0.15368733623041597,-0.015203309892774141,-0.0044668307207199635,17.69468042489344,-1.642810319966226,-0.7738060917505122
,0.5,0.9876711439195803,0.15574692314457642,-0.014961982505900697,-0.0049745833069986594,17.93411252150815,-1.6048058980017714,-0.8304027520546376
,0.505,0.9873437366004186,0.1578151472101264,-0.014720515620791234,-0.0054801028117679946,18.174585932255766,-1.5665891102885823,-0.8866024650492774
,0.51,0.9870133232017254,0.1598727822237283,-0.014431692897828608,-0.006092582903284776,18.41396226519551,-1.520835496643763,-0.9538615103281854
,0.515,0.9866766165158859,0.16193921916460505,-0.01414268909913533,-0.006702839858341899,18.654387910127422,-1.4748196255414316,-1.0206914253876391
,0.52,0.986333557128809,0.16401446963165625,-0.013853489675354791,-0.0073108588340818105,18.895866642405373,-1.4285403929030212,-1.0870883676086205
,0.525,0.985984085377684,0.1660985435384256,-0.013564080037481743,-0.007916624854212918,19.138402089035186,-1.3819967284282622,-1.153048452902642
,0.53,0.9856281413553232,0.16819144916083748,-0.013274445561454325,-0.00852012280804353,19.381997734781347,-1.3351875971611489,-1.2185677560407773
,0.535,0.9852656649148912,0.17029319318018282,-0.012984571592592429,-0.009121337449698497,19.626656927727808,-1.2881120010182936,-1.283642310995361
,0.54,0.984929594889208,0.17222871407130788,-0.01247331804450474,-0.009766242761923062,19.851672350554534,-1.2151412188144781,-1.3488640294846093
,0.545,0.9845874754931603,0.174172574325018,-0.011962228258935044,-0.010407811973836445,20.077656914095208,-1.1419924964485328,-1.4134403760199545
,0.55,0.9842392555457914,0.17612478810192986,-0.0114512896153877,-0.011046032086750899,20.304615451715378,-1.0686659162713443,-1.4773676842529138
,0.555,0.9838848836308505,0.17808536790278492,-0.01094048948522041,-0.011680890011516981,20.532552652590933,-0.9951616018126077,-1.5406422550365542
,0.56,0.9835243080995675,0.18005432461657586,-0.010429815236641412,-0.012312372568497487,20.76147306780158,-0.9214797192988179,-1.603260357120555
,0.565,0.9831574770737824,0.18203166756454117,-0.00991925423952954,-0.012940466487689836,20.991381115944357,-0.8476204791261386,-1.6652182278465717
,0.57,0.9827626186169705,0.18411931306864385,-0.009617093026612887,-0.01360975848291556,21.23462183475144,-0.7959212878635473,-1.736020159560534
,0.575,0.9823610577334806,0.1862154426700696,-0.009314784828860055,-0.014275711664894733,21.478890975190613,-0.7439635054488544,-1.806237899128262
,0.58,0.9819527394269653,0.18832005410130775,-0.009012311475710449,-0.01493830636396476,21.724191224274648,-0.6917466059628148,-1.8758669231187008
,0.585,0.9815376085358145,0.19043314371824557,-0.008709654797266627,-0.015597522774234582,21.970525159724144,-0.6392701185934115,-1.9449026711823394
,0.59,0.9811156097390265,0.19255470652430917,-0.00840679662875759,-0.016253340954960675,22.217895253339275,-0.5865336290912727,-2.0133405467128025
,0.595,0.9806866875624026,0.19468473619205615,-0.008103718814930432,-0.016905740832053224,22.466303874072924,-0.5335367812005039,-2.081175917526886
,0.6,0.9802014754200071,0.19705942214338404,-0.007869642471741427,-0.017627264572922585,22.74355446274523,-0.48589885402889565,-2.158239048972929
,0.605,0.9797079299881918,0.19944304630467788,-0.007635033280993726,-0.01834528456471509,23.021929967278506,-0.4378887717224806,-2.23468302903112
,0.61,0.9792059865307923,0.20183558384306866,-0.007399867646666502,-0.0190597742850534,23.3014311819351,-0.389505900491023,-2.310501786590134
,0.615,0.9786955802765847,0.20423700851316468,-0.007164122010321303,-0.019770707030710273,23.582058802977688,-0.34074969103938724,-2.385689204422654
,0.62,0.9781766464314939,0.20664729266310158,-0.006927772856306926,-0.02047805592086114,23.863813430075385,-0.2916196802880479,-2.460239120237806
,0.625,0.9776491201910944,0.20906640723949124,-0.006690796716960282,-0.021181793900480094,24.14669556757011,-0.24211549307626326,-2.53414532776877
,0.63,0.9770476294112778,0.21181279016520635,-0.006401905742167832,-0.021732174007702363,24.467869325110186,-0.18928433347919404,-2.5894471949565654
